"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Повторная регистрация пользователя (используется email который уже есть в БД)","71","Регистрация нового пользователя с неуникальным email","tests","Sat Sep 13 09:41:37 UTC 2025","passed","Sat Sep 13 09:41:37 UTC 2025","TestUser","test_user","",""
"Успешная авторизация ранее зарегистрированного пользователя","90","Авторизация зарегистрированного пользователя","tests","Sat Sep 13 09:41:37 UTC 2025","passed","Sat Sep 13 09:41:37 UTC 2025","TestUser","test_user","",""
"Успешное создание объявления в любой категории","126","Создание объявления","tests","Sat Sep 13 09:41:35 UTC 2025","passed","Sat Sep 13 09:41:35 UTC 2025","TestAdvert","test_advert","",""
"Успешное редактирование любого поля объявления","469","Редактирование своего объявления","tests","Sat Sep 13 09:41:36 UTC 2025","passed","Sat Sep 13 09:41:37 UTC 2025","TestAdvert","test_advert","",""
"Успешное создание объявления в любой категории","264","Удаление объявления","tests","Sat Sep 13 09:41:36 UTC 2025","passed","Sat Sep 13 09:41:36 UTC 2025","TestAdvert","test_advert","",""
"Успешное создание объявления в любой категории","146","Создание объявления","tests","Sat Sep 13 09:41:35 UTC 2025","passed","Sat Sep 13 09:41:35 UTC 2025","TestAdvert","test_advert","",""
"Успешное создание объявления в любой категории","107","Создание объявления","tests","Sat Sep 13 09:41:36 UTC 2025","passed","Sat Sep 13 09:41:36 UTC 2025","TestAdvert","test_advert","",""
"Успешное создание объявления в любой категории","105","Создание объявления","tests","Sat Sep 13 09:41:36 UTC 2025","passed","Sat Sep 13 09:41:36 UTC 2025","TestAdvert","test_advert","",""
"Успешное создание объявления в любой категории","211","Создание объявления","tests","Sat Sep 13 09:41:35 UTC 2025","passed","Sat Sep 13 09:41:35 UTC 2025","TestAdvert","test_advert","",""
"Успешная регистрация нового пользователя с уникальным email (генерировать новый email для каждого теста регистрации обязательно)","90","Регистрация нового пользователя с уникальным email","tests","Sat Sep 13 09:41:37 UTC 2025","passed","Sat Sep 13 09:41:37 UTC 2025","TestUser","test_user","",""
"Редактирование объявления, созданного не тем пользователем, под токеном которого производится редактирование","134","Редактирование чужого объявления","tests","Sat Sep 13 09:41:37 UTC 2025","passed","Sat Sep 13 09:41:37 UTC 2025","TestAdvert","test_advert","",""
